behaviour,behaviour_canon,variant,cohort,size_mb,cv_f1_mean,cv_f1_std,cv_f1_per_fold,oof_best_f1,best_thresh,min_bout,min_after_bout,max_gap,n_features,n_train_sessions,has_optuna,was_pruned,path,raw_keys
Facial_grooming,Facial_grooming,allfeatures,THC_Withdrawal,2.63,0.8997053331023919,0.03791370137248125,0.829;0.916;0.939;0.897;0.918,0.9944801610494188,0.85,15.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Facial_grooming_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Left_licking,Left_licking,default,THC_Withdrawal,7.3,0.906255317369946,0.026170715825143475,0.903;0.940;0.876,nan,0.5299999999999998,3.0,1.0,5.0,375.0,3.0,False,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Left_licking.pkl,"Behavior_type,best_thresh,bp_pixbrt_list,clf_model,cv_f1_scores,max_gap,mean_cv_f1,min_after_bout,min_bout,pix_threshold,square_size,std_cv_f1,training_sessions"
rearing,rearing,allfeatures,THC_Withdrawal,1.85,0.8548707963665892,0.027791606268418898,0.878;0.889;0.836;0.859;0.813,0.9999631499428824,0.54,1.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_rearing_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Scratching,Scratching,default,THC_Withdrawal,1.75,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,40.0,5.0,False,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
Scratching,Scratching,allfeatures,THC_Withdrawal,1.79,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,nan,5.0,False,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_Scratching_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
still,still,allfeatures,THC_Withdrawal,0.6,0.7672762919805778,0.08295049277729712,0.798;0.778;0.801;0.608;0.850,0.9397056316417571,0.58,2.0,0.0,10.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_still_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
walking,walking,allfeatures,THC_Withdrawal,3.75,0.7828248759053207,0.04648557973554943,0.713;0.833;0.750;0.789;0.830,0.9937596540006178,0.56,2.0,0.0,4.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\260506_RS_THC_Withdrawal\classifiers\PixelPaws_walking_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
body_grooming,body_grooming,allfeatures,SNLT,13.72,0.765433710843052,0.06506974696624734,0.679;0.844;0.816;0.699;0.790,0.999603827902841,0.85,2.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_body_grooming_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
body_grooming,body_grooming,pruned,SNLT,12.52,0.765433710843052,0.06506974696624734,0.679;0.844;0.816;0.699;0.790,0.999603827902841,0.85,2.0,0.0,0.0,100.0,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_body_grooming_pruned_100.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Facial_grooming,Facial_grooming,allfeatures,SNLT,2.63,0.8997053331023919,0.03791370137248125,0.829;0.916;0.939;0.897;0.918,0.9944801610494188,0.85,15.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_Facial_grooming_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Facial_grooming,Facial_grooming,pruned,SNLT,2.01,0.8997053331023919,0.03791370137248125,0.829;0.916;0.939;0.897;0.918,0.9944801610494188,0.85,15.0,0.0,0.0,100.0,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_Facial_grooming_pruned_100.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Left_licking,Left_licking,default,SNLT,7.3,0.906255317369946,0.026170715825143475,0.903;0.940;0.876,nan,0.5299999999999998,3.0,1.0,5.0,375.0,3.0,False,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_Left_licking.pkl,"Behavior_type,best_thresh,bp_pixbrt_list,clf_model,cv_f1_scores,max_gap,mean_cv_f1,min_after_bout,min_bout,pix_threshold,square_size,std_cv_f1,training_sessions"
rearing,rearing,allfeatures,SNLT,1.85,0.8548707963665892,0.027791606268418898,0.878;0.889;0.836;0.859;0.813,0.9999631499428824,0.54,1.0,0.0,0.0,nan,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_rearing_AllFeatures.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
rearing,rearing,pruned,SNLT,1.58,0.8548707963665892,0.027791606268418898,0.878;0.889;0.836;0.859;0.813,0.9999631499428824,0.54,1.0,0.0,0.0,100.0,7.0,True,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_rearing_pruned_100.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,contact_threshold,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,oof_best_params,oof_proba,optuna_best_params,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout,use_contact_features,use_egocentric,use_lag_features"
Scratching,Scratching,default,SNLT,1.75,0.5243252606759338,0.1591072105454233,0.244;0.503;0.583;0.732;0.559,0.6547938896138789,0.6,12.0,1.0,6.0,40.0,5.0,False,False,E:\RSVIDS\Blackbox\2603_SNLT_JG\Baseline\classifiers\PixelPaws_Scratching.pkl,"Behavior_type,best_thresh,bp_optflow_list,bp_pixbrt_list,clf_model,cv_f1_scores,final_n_estimators,include_optical_flow,max_gap,mean_cv_f1,min_after_bout,min_bout,oof_best_f1,pix_threshold,scale_pos_weight,selected_feature_cols,square_size,std_cv_f1,training_sessions,ui_max_gap,ui_min_after_bout,ui_min_bout"
